"","date","country","iso_code","median","lower_95_CrI","upper_95_CrI"
"10665",2020-07-04,"Pakistan","PAK",0.831282585513446,0.732399898919453,0.936204539270379
"10666",2020-07-05,"Pakistan","PAK",0.838428411506168,0.73804478152608,0.942584616963668
"10667",2020-07-06,"Pakistan","PAK",0.845266580984428,0.742840939413016,0.949298486081948
"10668",2020-07-07,"Pakistan","PAK",0.851710788409482,0.747060865791221,0.956011473238614
"10669",2020-07-08,"Pakistan","PAK",0.857685759603629,0.750249580894718,0.964376971799966
"10670",2020-07-09,"Pakistan","PAK",0.86312926442292,0.752475218371672,0.971026845805219
"10671",2020-07-10,"Pakistan","PAK",0.867992787617733,0.754018327083424,0.976302670959402
"10672",2020-07-11,"Pakistan","PAK",0.872241041133599,0.754270427956674,0.97979226217279
"10673",2020-03-15,"Panama","PAN",0.226825701332487,0.152130682466675,0.319265001552992
"10674",2020-03-16,"Panama","PAN",0.230923764609616,0.158712068659558,0.319802848690531
"10675",2020-03-17,"Panama","PAN",0.235249613168878,0.165738721123705,0.320755575037148
"10676",2020-03-18,"Panama","PAN",0.23980237075259,0.172339359062043,0.322098360440145
"10677",2020-03-19,"Panama","PAN",0.244580407220279,0.179635136685293,0.32428786003604
"10678",2020-03-20,"Panama","PAN",0.249581298209112,0.186376426220116,0.326756830707543
"10679",2020-03-21,"Panama","PAN",0.254801789751976,0.193319327726591,0.329244946310601
"10680",2020-03-22,"Panama","PAN",0.260237769381643,0.200260264088922,0.332469648881811
"10681",2020-03-23,"Panama","PAN",0.265884245298431,0.207122880678355,0.335887466311143
"10682",2020-03-24,"Panama","PAN",0.271735335157756,0.215793459633858,0.339877340673784
"10683",2020-03-25,"Panama","PAN",0.277784265928283,0.222648962302207,0.344053463950194
"10684",2020-03-26,"Panama","PAN",0.284023386069335,0.229529325755902,0.349754808779408
"10685",2020-03-27,"Panama","PAN",0.290444190972574,0.23606896048334,0.355766526148431
"10686",2020-03-28,"Panama","PAN",0.297037362210787,0.242861505314169,0.361914604367237
"10687",2020-03-29,"Panama","PAN",0.303792820649342,0.249494424616803,0.368695871427283
"10688",2020-03-30,"Panama","PAN",0.31069979292781,0.25611065558892,0.375304853127093
"10689",2020-03-31,"Panama","PAN",0.317746890244679,0.262692849110943,0.382176644644754
"10690",2020-04-01,"Panama","PAN",0.324922197818601,0.26922776135968,0.389491264421695
"10691",2020-04-02,"Panama","PAN",0.332213372899739,0.275844872998577,0.397714458057444
"10692",2020-04-03,"Panama","PAN",0.33960774880684,0.282413008920745,0.405834308034847
"10693",2020-04-04,"Panama","PAN",0.347092442204001,0.288955009836203,0.414542655113553
"10694",2020-04-05,"Panama","PAN",0.354654460727628,0.295336638785246,0.423318211308612
"10695",2020-04-06,"Panama","PAN",0.362280808134871,0.301870297700789,0.431783126002137
"10696",2020-04-07,"Panama","PAN",0.369958584359394,0.308318079561182,0.440827328819001
"10697",2020-04-08,"Panama","PAN",0.377675078203318,0.314830192630365,0.450086817868823
"10698",2020-04-09,"Panama","PAN",0.385417850828479,0.321282065881984,0.45927624310457
"10699",2020-04-10,"Panama","PAN",0.393174808692443,0.32799305019041,0.468259327149305
"10700",2020-04-11,"Panama","PAN",0.400934265061129,0.334592531087481,0.477154064713441
"10701",2020-04-12,"Panama","PAN",0.408684989681753,0.341264974358502,0.485867677252316
"10702",2020-04-13,"Panama","PAN",0.416416246588501,0.347958211867446,0.494653758364017
"10703",2020-04-14,"Panama","PAN",0.424117820323137,0.354490680470371,0.503719500946239
"10704",2020-04-15,"Panama","PAN",0.431780031081045,0.361126666846487,0.511737581994129
"10705",2020-04-16,"Panama","PAN",0.439393739448662,0.367505299035412,0.520482992564817
"10706",2020-04-17,"Panama","PAN",0.446950341496502,0.374026820179154,0.529121844994675
"10707",2020-04-18,"Panama","PAN",0.454441755051665,0.380431276622978,0.537798476524086
"10708",2020-04-19,"Panama","PAN",0.461860398011757,0.386661418906829,0.547817835455777
"10709",2020-04-20,"Panama","PAN",0.469199159591551,0.392667815288499,0.556023627107233
"10710",2020-04-21,"Panama","PAN",0.47645136542189,0.398780980960771,0.564185851499291
"10711",2020-04-22,"Panama","PAN",0.483610737449991,0.404687679533988,0.572380671449235
"10712",2020-04-23,"Panama","PAN",0.490671349620259,0.410737920187847,0.580316180170914
"10713",2020-04-24,"Panama","PAN",0.497627580342375,0.416421686229538,0.588174948664914
"10714",2020-04-25,"Panama","PAN",0.504474062775628,0.4221122348264,0.596133670026897
"10715",2020-04-26,"Panama","PAN",0.511205633973138,0.427733691349334,0.603710597555603
"10716",2020-04-27,"Panama","PAN",0.517817283935982,0.433217466488736,0.61096743879186
"10717",2020-04-28,"Panama","PAN",0.524304105624886,0.438594537224396,0.618040950569361
"10718",2020-04-29,"Panama","PAN",0.530661246966711,0.443761159403434,0.625255170776186
"10719",2020-04-30,"Panama","PAN",0.536883865874083,0.449280487061256,0.632106286144758
"10720",2020-05-01,"Panama","PAN",0.542967089268297,0.454426234013893,0.638781595624209
"10721",2020-05-02,"Panama","PAN",0.548905977056008,0.459627577594497,0.645225936600355
"10722",2020-05-03,"Panama","PAN",0.554695491955473,0.46484776833178,0.65154543147871
"10723",2020-05-04,"Panama","PAN",0.560330475993727,0.47013597529212,0.657532903133263
"10724",2020-05-05,"Panama","PAN",0.5658056343963,0.475291568867747,0.663442233823467
"10725",2020-05-06,"Panama","PAN",0.571115527460628,0.480176691206095,0.668966214306195
"10726",2020-05-07,"Panama","PAN",0.576254570839087,0.484559133122958,0.674238698028478
"10727",2020-05-08,"Panama","PAN",0.581217044456165,0.489739226239623,0.679196284805383
"10728",2020-05-09,"Panama","PAN",0.585997110048899,0.494425764121572,0.684079975337623
"10729",2020-05-10,"Panama","PAN",0.590588837056672,0.499082171608195,0.688928210690464
"10730",2020-05-11,"Panama","PAN",0.594986236305806,0.503425046430449,0.693429796113214
"10731",2020-05-12,"Panama","PAN",0.59918330064957,0.507647621598333,0.697627999565961
"10732",2020-05-13,"Panama","PAN",0.60317405145078,0.511908892449058,0.701529726247539
"10733",2020-05-14,"Panama","PAN",0.606952589549521,0.515774274622888,0.705348733324442
"10734",2020-05-15,"Panama","PAN",0.610513149160697,0.519415803379464,0.709062616097046
"10735",2020-05-16,"Panama","PAN",0.613850153013308,0.522966922113731,0.712587043276274
"10736",2020-05-17,"Panama","PAN",0.616958266992513,0.526400539977709,0.715608728943275
"10737",2020-05-18,"Panama","PAN",0.619832452590523,0.529445844529026,0.718661934815034
"10738",2020-05-19,"Panama","PAN",0.622468015621111,0.532354902162749,0.721209272584017
"10739",2020-05-20,"Panama","PAN",0.624860649904434,0.534949260136998,0.723739780051916
"10740",2020-05-21,"Panama","PAN",0.62700647497252,0.537206497732145,0.725778776371091
"10741",2020-05-22,"Panama","PAN",0.62890206725837,0.539194386588703,0.728182170434719
"10742",2020-05-23,"Panama","PAN",0.630544484680721,0.541180252242129,0.728792344580849
"10743",2020-05-24,"Panama","PAN",0.631931284983736,0.542692736290788,0.730133182167722
"10744",2020-05-25,"Panama","PAN",0.633060538596802,0.544242005524421,0.731089128097471
"10745",2020-05-26,"Panama","PAN",0.633930837108833,0.545493339687309,0.731823277704711
"10746",2020-05-27,"Panama","PAN",0.634541298676785,0.546160462793418,0.731729687609608
"10747",2020-05-28,"Panama","PAN",0.634891571792788,0.546606498541474,0.731963232933333
"10748",2020-05-29,"Panama","PAN",0.634981838813138,0.547176032494699,0.731758199203455
"10749",2020-05-30,"Panama","PAN",0.634812820510754,0.547496168339925,0.731383891416124
"10750",2020-05-31,"Panama","PAN",0.634385782665111,0.547397611987539,0.730800646308733
"10751",2020-06-01,"Panama","PAN",0.633702545371426,0.546982264735111,0.729707199901087
"10752",2020-06-02,"Panama","PAN",0.632765495360181,0.546466018465981,0.727900833846632
"10753",2020-06-03,"Panama","PAN",0.631577601197464,0.545856003973893,0.725891575737428
