"","date","iso_code","estimate","lower","upper"
"2997",2020-05-01,"EGY",0.283827635680771,0.229126312400011,0.342979537026532
"2998",2020-05-02,"EGY",0.290714757841917,0.234861862823285,0.351063094609899
"2999",2020-05-03,"EGY",0.297343873507044,0.24042142303068,0.358793027974297
"3000",2020-05-04,"EGY",0.303674813896166,0.245791481421804,0.366275416734632
"3001",2020-05-05,"EGY",0.309667754785043,0.250698301431171,0.373308916877916
"3002",2020-05-06,"EGY",0.315283567746208,0.255443543836414,0.379858456031884
"3003",2020-05-07,"EGY",0.320484171763573,0.259825572510296,0.385890315619676
"3004",2020-05-08,"EGY",0.325232881646487,0.263811438940716,0.391347416806741
"3005",2020-05-09,"EGY",0.329494750014005,0.267361030699471,0.39626794756332
"3006",2020-05-10,"EGY",0.333236900011134,0.270506992184313,0.400592066265373
"3007",2020-05-11,"EGY",0.336428846351573,0.273162554376403,0.404382531924862
"3008",2020-05-12,"EGY",0.339042802744367,0.275317954225691,0.407480668164027
"3009",2020-05-13,"EGY",0.341053974229762,0.277032519468132,0.409745169856736
"3010",2020-05-14,"EGY",0.342440833380376,0.278175929992492,0.411313824456843
"3011",2020-05-15,"EGY",0.343185379658693,0.278801274536052,0.412161793233289
"3012",2020-05-16,"EGY",0.343273381390924,0.278831453080846,0.412250142402992
"3013",2020-05-17,"EGY",0.342694599749539,0.278334848420175,0.411547474806632
"3014",2020-05-18,"EGY",0.341442993774383,0.277296879890577,0.409984689513795
"3015",2020-05-19,"EGY",0.339516904775111,0.275723515191132,0.407554119797274
"3016",2020-05-20,"EGY",0.336919217456394,0.273661787767717,0.404432225531993
"3017",2020-05-21,"EGY",0.333657493852279,0.271084049075284,0.400388655667691
"3018",2020-05-22,"EGY",0.329744074759456,0.268003077488708,0.395880130658374
"3019",2020-05-23,"EGY",0.325196141979747,0.264405045361982,0.39061382460465
"3020",2020-05-24,"EGY",0.320035733512362,0.260318873576699,0.383178433472338
"3021",2020-05-25,"EGY",0.3142897030822,0.255777538089084,0.375973127871163
"3022",2020-05-26,"EGY",0.307989615246132,0.25077878239146,0.3681833560795
"3023",2020-05-27,"EGY",0.301171567939651,0.245378025672222,0.358817701847323
"3024",2020-05-28,"EGY",0.293875935801467,0.239572499008824,0.349902349166762
"3025",2020-05-29,"EGY",0.286147029947473,0.233360704780322,0.34057548574917
"3026",2020-05-30,"EGY",0.27803267296627,0.226749165901829,0.330836227040364
"3027",2020-05-31,"EGY",0.269583691590523,0.219831702368532,0.320850829166313
"3028",2020-06-01,"EGY",0.260853333499348,0.212595237729759,0.310722732888456
"3029",2020-06-02,"EGY",0.251896618715583,0.205086474068353,0.300589491234796
"3030",2020-06-03,"EGY",0.242769639754535,0.19634600585425,0.29050719742623
"3031",2020-06-04,"EGY",0.233528827759496,0.188254156023602,0.280483462250299
"3032",2020-06-05,"EGY",0.22423020408421,0.179647192934761,0.270806887745748
"3033",2020-06-06,"EGY",0.214928637995007,0.171264592326802,0.261422026697775
"3034",2020-02-26,"ESP",0.058369499256042,0.0295461520010407,0.102186533740914
"3035",2020-02-27,"ESP",0.0549470880865852,0.0275277204301153,0.098014951445176
"3036",2020-02-28,"ESP",0.0519071571046234,0.025737379390628,0.0924496108921531
"3037",2020-02-29,"ESP",0.049219996147307,0.0241556662141922,0.0874198255880573
"3038",2020-03-01,"ESP",0.0468576180823008,0.022764615088398,0.0829006739284151
"3039",2020-03-02,"ESP",0.0447939581546764,0.0214321855482228,0.0814271275215165
"3040",2020-03-03,"ESP",0.043004995820017,0.0202540766853689,0.0792521532251722
"3041",2020-03-04,"ESP",0.0414688104244237,0.0192547793765193,0.0779734249461718
"3042",2020-03-05,"ESP",0.0401655818602014,0.0184005518190398,0.0768960098028283
"3043",2020-03-06,"ESP",0.0390775465423844,0.0176927811620381,0.077142908832063
"3044",2020-03-07,"ESP",0.0381889178936038,0.0171130320877614,0.0770992338291554
"3045",2020-03-08,"ESP",0.0374857791514433,0.0166430275970458,0.0768271055551055
"3046",2020-03-09,"ESP",0.0369559548569728,0.0162655125622777,0.0768100609679226
"3047",2020-03-10,"ESP",0.0365888659536455,0.0159744436675656,0.0774703854110514
"3048",2020-03-11,"ESP",0.036375372106326,0.0156919826132975,0.0779889398512049
"3049",2020-03-12,"ESP",0.0363076037046463,0.0155768611786994,0.0787834547800026
"3050",2020-03-13,"ESP",0.036378785090276,0.0155610859645287,0.0796138031348073
"3051",2020-03-14,"ESP",0.0365830498783946,0.0156250821710189,0.0804909320298771
"3052",2020-03-15,"ESP",0.0369152488534712,0.0157630648624313,0.0815793947750307
"3053",2020-03-16,"ESP",0.0373707508230986,0.0159716993023176,0.0828353685271246
"3054",2020-03-17,"ESP",0.0379452370160377,0.0162479583076423,0.083803885425588
"3055",2020-03-18,"ESP",0.0386344901051841,0.0165606551977155,0.0848045540495041
"3056",2020-03-19,"ESP",0.0394341797015147,0.0169706642917387,0.0858370552179464
"3057",2020-03-20,"ESP",0.0403396471616681,0.0174372549776124,0.0869140766725382
"3058",2020-03-21,"ESP",0.0413456937186314,0.0179572734636504,0.0880175144325653
"3059",2020-03-22,"ESP",0.0424463771977295,0.0185271324061138,0.0892513990345046
"3060",2020-03-23,"ESP",0.0436348238117411,0.0191427043389857,0.0906632647287005
"3061",2020-03-24,"ESP",0.0449030626134792,0.0197992300652727,0.0918918079158165
"3062",2020-03-25,"ESP",0.0462418909844015,0.0204912465402619,0.0937096062981429
"3063",2020-03-26,"ESP",0.0476407799164063,0.0212135725369572,0.0952605965757789
"3064",2020-03-27,"ESP",0.04908782767802,0.0219659373636149,0.0966244787536767
"3065",2020-03-28,"ESP",0.0505697696526242,0.0227529476255822,0.0984492635980698
"3066",2020-03-29,"ESP",0.0520720506472859,0.0235557663703571,0.100141937588739
"3067",2020-03-30,"ESP",0.0535789638051913,0.024336630383897,0.102118196492435
"3068",2020-03-31,"ESP",0.0550738574855176,0.0251015111355821,0.104177737902633
"3069",2020-04-01,"ESP",0.0565394082381448,0.0258374312427645,0.105798409327648
"3070",2020-04-02,"ESP",0.0579579544889135,0.0265638066757257,0.107602619057333
"3071",2020-04-03,"ESP",0.0593118819968556,0.0272357591055467,0.109303915591784
"3072",2020-04-04,"ESP",0.0605840488012117,0.0278587992346527,0.111193663021745
"3073",2020-04-05,"ESP",0.0617582344940139,0.0284289241837873,0.113599271250076
"3074",2020-04-06,"ESP",0.0628195964599548,0.0289297803322711,0.115484507838959
"3075",2020-04-07,"ESP",0.0637551144017574,0.0293559336717318,0.117250409159097
"3076",2020-04-08,"ESP",0.0645540041415179,0.0296915927298273,0.119156140608195
"3077",2020-04-09,"ESP",0.0652080824166085,0.029946212100128,0.120751910974337
"3078",2020-04-10,"ESP",0.0657120661661904,0.0301074329534733,0.122836204684786
"3079",2020-04-11,"ESP",0.0660637925613633,0.0301789816299833,0.124583665883388
"3080",2020-04-12,"ESP",0.0662643496416573,0.0301425269274164,0.126207425685004
"3081",2020-04-13,"ESP",0.0663181117072553,0.0300359555380441,0.127714810392547
"3082",2020-04-14,"ESP",0.0662326783643614,0.0298364063151955,0.129515265871716
"3083",2020-04-15,"ESP",0.0660187210838337,0.0295559694892136,0.131343595392165
"3084",2020-04-16,"ESP",0.0656897460438019,0.0292030610386123,0.133517907321214
"3085",2020-04-17,"ESP",0.0652617866110522,0.028794368930036,0.134861354828799
"3086",2020-04-18,"ESP",0.0647530428077238,0.0283345735315327,0.136280771443219
"3087",2020-04-19,"ESP",0.0641834882719083,0.0278626174367854,0.138488428993448
"3088",2020-04-20,"ESP",0.0635744673665378,0.0273667172773308,0.140779979660738
"3089",2020-04-21,"ESP",0.0629483061078308,0.0268596909645417,0.143141304961964
"3090",2020-04-22,"ESP",0.0623279604535916,0.0263311402065715,0.145838951527996
"3091",2020-04-23,"ESP",0.061736724300577,0.0258145933852371,0.148610309518733
"3092",2020-04-24,"ESP",0.0611980174855066,0.0253279605032662,0.151455110289285
"3093",2020-04-25,"ESP",0.0607352714607337,0.0248836187250004,0.15436883926119
"3094",2020-04-26,"ESP",0.0603719274920889,0.0244853603350048,0.157355163513696
"3095",2020-04-27,"ESP",0.0601315596114736,0.0241524846229452,0.160413627813996
"3096",2020-04-28,"ESP",0.0600381325572566,0.0239122668072449,0.16354333969031
"3097",2020-04-29,"ESP",0.0601164039129626,0.0237721609785578,0.166743382256812
"3098",2020-04-30,"ESP",0.0603924798847047,0.0237329880304538,0.170033185885173
"3099",2020-05-01,"ESP",0.0608945357930919,0.0237984477335731,0.173384635524944
"3100",2020-05-02,"ESP",0.0616537153920145,0.0240017873785762,0.176826547288402
"3101",2020-05-03,"ESP",0.0627052273672228,0.0243897261471185,0.180346631008513
"3102",2020-05-04,"ESP",0.0640896623705122,0.0249533370124484,0.183947184189897
"3103",2020-05-05,"ESP",0.0658545589484692,0.0257494783587349,0.187629384248969
"3104",2020-05-06,"ESP",0.0680562505266053,0.0267963162701373,0.191394580271101
"3105",2020-05-07,"ESP",0.0707620263963347,0.0281284837567259,0.195246479481691
"3106",2020-05-08,"ESP",0.0740526347633927,0.029799555175606,0.199200395584215
"3107",2020-05-09,"ESP",0.0780251415640898,0.0318853646002371,0.203235477032108
"3108",2020-05-10,"ESP",0.0827961297411244,0.0345050567769732,0.207374666867073
"3109",2020-05-11,"ESP",0.0885051732021924,0.0376518903624719,0.211620629692696
"3110",2020-05-12,"ESP",0.0953184394939805,0.0414044043085466,0.215972908258206
"3111",2020-05-13,"ESP",0.103432156297245,0.0459836732081909,0.221812064530824
"3112",2020-05-14,"ESP",0.113075511233641,0.0516325786337765,0.226597486267037
"3113",2020-05-15,"ESP",0.12451233873994,0.0584905377386936,0.233470724444136
"3114",2020-05-16,"ESP",0.138040688644849,0.0666738783807226,0.244161196821354
"3115",2020-05-17,"ESP",0.153989093487656,0.0762020736143906,0.255615914247684
"3116",2020-05-18,"ESP",0.17270810822602,0.0877660684551235,0.282056964554875
"3117",2020-05-19,"ESP",0.1945555758771,0.102302308941871,0.310970989638015
"3118",2020-05-20,"ESP",0.219874203885025,0.119128230262547,0.351279057630731
"3119",2020-05-21,"ESP",0.248960574314964,0.13907314423641,0.396618611226014
"3120",2020-05-22,"ESP",0.282025805325692,0.163824372295504,0.445765608508233
"3121",2020-05-23,"ESP",0.319149810442198,0.191415822587287,0.498388994935854
"3122",2020-05-24,"ESP",0.360233385509185,0.214463069923573,0.553552907276114
"3123",2020-05-25,"ESP",0.404954860161335,0.233835867034828,0.610032340231091
"3124",2020-05-26,"ESP",0.452740152840683,0.245849315991165,0.666377362382169
"3125",2020-05-27,"ESP",0.502755897870598,0.253501439013938,0.721022125634525
"3126",2020-05-28,"ESP",0.553933976062509,0.258538123510826,0.772428206220789
"3127",2020-05-29,"ESP",0.605031721661901,0.263671614890617,0.819241179110413
"3128",2020-05-30,"ESP",0.654725496408094,0.268987968644542,0.862136756080228
"3129",2020-05-31,"ESP",0.701727435142398,0.274477348788564,0.899871458255757
"3130",2020-06-01,"ESP",0.74490811185056,0.279881379053113,0.928120069545083
"3131",2020-06-02,"ESP",0.783404108120142,0.285346223448938,0.950081476573408
"3132",2020-06-03,"ESP",0.816690812905869,0.290858859757461,0.966759309155723
"3133",2020-03-21,"EST",0.321582327429725,0.203420360450983,0.461724734403352
"3134",2020-03-22,"EST",0.322245744480611,0.206662829719918,0.460626617072772
"3135",2020-03-23,"EST",0.322967421673065,0.209905626924793,0.459502684289794
"3136",2020-03-24,"EST",0.323747380658242,0.213047345492179,0.458840890832223
"3137",2020-03-25,"EST",0.324585461630156,0.216042696433181,0.457856693524537
"3138",2020-03-26,"EST",0.325481319499147,0.21894646590693,0.457203683154718
"3139",2020-03-27,"EST",0.326434421965027,0.221848976746054,0.456763517546428
"3140",2020-03-28,"EST",0.327444049658504,0.224566219704034,0.456496761509815
"3141",2020-03-29,"EST",0.328509298503902,0.22708878897786,0.456198103638656
"3142",2020-03-30,"EST",0.329629084437191,0.229496094466797,0.456103242696985
"3143",2020-03-31,"EST",0.33080215058906,0.231609020878534,0.456159070733459
"3144",2020-04-01,"EST",0.332027077011232,0.233603634254998,0.45653135991106
"3145",2020-04-02,"EST",0.333302292984061,0.235530376467679,0.457049402557997
"3146",2020-04-03,"EST",0.334626091894473,0.237260399325001,0.457925494812652
"3147",2020-04-04,"EST",0.335996648616211,0.238806747007826,0.458952562486595
"3148",2020-04-05,"EST",0.337412039261108,0.240312365419677,0.460138355082836
"3149",2020-04-06,"EST",0.338870263102532,0.241767501222544,0.461590693960722
"3150",2020-04-07,"EST",0.340369266401794,0.243116798381463,0.463067449493922
"3151",2020-04-08,"EST",0.341906967795105,0.244306772444816,0.464930312265646
"3152",2020-04-09,"EST",0.343481284820795,0.245496672217335,0.467202126582918
"3153",2020-04-10,"EST",0.34509016108086,0.246636192719122,0.469649333798991
"3154",2020-04-11,"EST",0.346731593434904,0.247691470228933,0.472455492547342
"3155",2020-04-12,"EST",0.348403658520233,0.248792211232617,0.475252113629341
"3156",2020-04-13,"EST",0.350104537789856,0.249712481808598,0.478261253675772
"3157",2020-04-14,"EST",0.351832540182599,0.250549519695354,0.481458012260849
"3158",2020-04-15,"EST",0.353586121517611,0.251326261019686,0.484878540955837
"3159",2020-04-16,"EST",0.355363899769068,0.252060298071747,0.488673198314903
"3160",2020-04-17,"EST",0.357164665538025,0.25285827546172,0.492458433840641
"3161",2020-04-18,"EST",0.35898738727641,0.253492258101887,0.496620560579127
"3162",2020-04-19,"EST",0.360831211081111,0.254122252319868,0.500800547791322
"3163",2020-04-20,"EST",0.362695455105549,0.254749561042978,0.505617927493568
"3164",2020-04-21,"EST",0.364579598801759,0.255355288310383,0.510190375278142
"3165",2020-04-22,"EST",0.366483267321632,0.255915599285573,0.514876725166349
"3166",2020-04-23,"EST",0.368406211511899,0.25650814185384,0.520026676206109
"3167",2020-04-24,"EST",0.37034828406626,0.257114179795817,0.525133013719333
"3168",2020-04-25,"EST",0.372309412552865,0.257666307476453,0.530513290884236
"3169",2020-04-26,"EST",0.374289570191621,0.258068577873883,0.535948753213563
"3170",2020-04-27,"EST",0.37628874537505,0.258523577524546,0.541416908074674
"3171",2020-04-28,"EST",0.378306910966905,0.258941564117084,0.54741154242774
"3172",2020-04-29,"EST",0.380343994334697,0.259305083027842,0.5531414951188
"3173",2020-04-30,"EST",0.382399848848499,0.259691665996559,0.559309626476012
"3174",2020-05-01,"EST",0.384474227218446,0.260229629986022,0.565557110172784
"3175",2020-05-02,"EST",0.386566756614934,0.260606012508336,0.571560931656392
"3176",2020-05-03,"EST",0.388676915141291,0.261018292804294,0.577558163400848
"3177",2020-05-04,"EST",0.390804009049683,0.261510749109626,0.583830684811828
"3178",2020-05-05,"EST",0.392947150211838,0.26209788942912,0.590278678332937
"3179",2020-05-06,"EST",0.395105233794934,0.262582881689917,0.597080643033373
"3180",2020-05-07,"EST",0.397276916754419,0.263114132259746,0.603970845745452
"3181",2020-05-08,"EST",0.399460598445512,0.263599945035302,0.61069515825175
"3182",2020-05-09,"EST",0.401654405147945,0.264041585538325,0.617434074497405
"3183",2020-05-10,"EST",0.403856180435028,0.264337621680929,0.624328323030523
"3184",2020-05-11,"EST",0.406063483065291,0.264844189707696,0.631388346486653
"3185",2020-05-12,"EST",0.408273593492306,0.265264691337072,0.638562919919237
"3186",2020-05-13,"EST",0.410483529248647,0.265614217013674,0.646039261879689
"3187",2020-05-14,"EST",0.412690068449511,0.266007386504904,0.652937847357928
"3188",2020-05-15,"EST",0.41488977968125,0.266186409386747,0.660181643641066
"3189",2020-05-16,"EST",0.417079055934952,0.26642881315813,0.667462857865955
"3190",2020-05-17,"EST",0.419254150312393,0.266814562231932,0.674868849657259
"3191",2020-05-18,"EST",0.421411211948857,0.266924842366322,0.682186417259467
"3192",2020-05-19,"EST",0.423546321583458,0.266973048240312,0.689213696445269
"3193",2020-05-20,"EST",0.425655526986697,0.267115176040597,0.696471991695406
"3194",2020-05-21,"EST",0.427734878763419,0.267111052264985,0.70348461308327
"3195",2020-05-22,"EST",0.429780466919662,0.26701878516857,0.710139298783155
"3196",2020-05-23,"EST",0.431788458212468,0.267033836081195,0.717161277623091
"3197",2020-05-24,"EST",0.433755133890609,0.267047422933125,0.72458208794109
"3198",2020-05-25,"EST",0.435676927099231,0.2668961764209,0.732027365015668
"3199",2020-05-26,"EST",0.437550459002855,0.266686121843794,0.73886940400529
"3200",2020-05-27,"EST",0.439372572577248,0.266556761006366,0.745430360001962
"3201",2020-05-28,"EST",0.441140363018833,0.266180036333544,0.752106105582475
"3202",2020-05-29,"EST",0.442851203805333,0.265868897894073,0.75858377895355
"3203",2020-05-30,"EST",0.44450276758779,0.265391466664016,0.765252987428219
"3204",2020-05-31,"EST",0.446093041270464,0.264977972559037,0.771559649261516
"3205",2020-06-01,"EST",0.447620334835813,0.264463274751615,0.77791529748346
"3206",2020-06-02,"EST",0.449083283741666,0.263886494706534,0.783829615541723
"3207",2020-06-03,"EST",0.450480845123581,0.263184719344166,0.789724544510783
"3208",2020-06-04,"EST",0.451812288588651,0.262531335866218,0.795431145838202
"3209",2020-06-05,"EST",0.453077182980595,0.261693964182159,0.801390428879225
"3210",2020-06-06,"EST",0.454275380887735,0.26094383420528,0.806695851744488
"3211",2020-05-19,"ETH",0.43942679267703,0.277112607354518,0.62252164147006
"3212",2020-05-20,"ETH",0.440710610422866,0.284130328627182,0.62133242281704
"3213",2020-05-21,"ETH",0.44206958023017,0.290953991639495,0.620281841179244
"3214",2020-05-22,"ETH",0.443502619143536,0.297145962350822,0.619457957483332
"3215",2020-05-23,"ETH",0.445008195969446,0.302987196568018,0.618859549562486
"3216",2020-05-24,"ETH",0.446584488199426,0.308256414307489,0.618616035845097
"3217",2020-05-25,"ETH",0.448229295441271,0.313060880071494,0.618733687925859
